Date,RegionName,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,NoActive,ActiveCases
20/03/07,"Umbria,","2,","2,","4,","20,","24,","8,","0,","0,","24,","0,",8
20/03/07,"Valle d'Aosta,","1,","0,","1,","7,","8,","1,","0,","0,","8,","0,",1
20/03/07,"Veneto,","123,","41,","164,","341,","505,","51,","25,","13,","543,","38,",13
20/03/08,"Abruzzo,","14,","0,","14,","3,","17,","6,","0,","0,","17,","0,",6
20/03/08,"Basilicata,","2,","0,","2,","2,","4,","1,","0,","0,","4,","0,",1
20/03/08,"P.A. Bolzano,","8,","0,","8,","1,","9,","0,","0,","0,","9,","0,",0
20/03/08,"Calabria,","5,","0,","5,","4,","9,","5,","0,","0,","9,","0,",5
20/03/08,"Campania,","30,","7,","37,","63,","100,","39,","1,","0,","101,","1,",38
20/03/08,"Emilia Romagna,","542,","75,","617,","480,","1097,","160,","27,","56,","1180,","83,",77
20/03/08,"Friuli Venezia Giulia,","7,","1,","8,","45,","53,","14,","3,","1,","57,","4,",10
20/03/08,"Lazio,","47,","8,","55,","26,","81,","9,","3,","3,","87,","6,",3
20/03/08,"Liguria,","39,","11,","50,","17,","67,","25,","5,","6,","78,","11,",14
20/03/08,"Lombardia,","2217,","399,","2616,","756,","3372,","630,","550,","267,","4189,","817,",-187
20/03/08,"Marche,","110,","41,","151,","114,","265,","64,","0,","7,","272,","7,",57
20/03/08,"Molise,","4,","2,","6,","8,","14,","0,","0,","0,","14,","0,",0
20/03/08,"Piemonte,","245,","45,","290,","65,","355,","153,","0,","5,","360,","5,",148
20/03/08,"Puglia,","17,","3,","20,","16,","36,","13,","1,","3,","40,","4,",9
20/03/08,"Sardegna,","5,","0,","5,","6,","11,","6,","0,","0,","11,","0,",6
20/03/08,"Sicilia,","18,","0,","18,","33,","51,","18,","2,","0,","53,","2,",16
20/03/08,"Toscana,","91,","7,","98,","67,","165,","53,","1,","0,","166,","1,",52
20/03/08,"P.A. Trento,","7,","2,","9,","14,","23,","9,","0,","0,","23,","0,",9
